GENE,NUM_VARIATIONS,VARIATION_TYPES,GENE_LENGTH,TOTAL_LENGTH
tRNA-Gly-TCC-3-1_flank,11,"snp(9), ins(2)",72,720
tRNA-Ile-AAT-1-1,1,snp(1),74,740
tRNA-Ile-AAT-1-1_flank,31,"snp(25), mnp(6)",74,740
tRNA-Ile-AAT-12-1,1,snp(1),74,740
tRNA-Ile-AAT-12-1_flank,12,"snp(10), ins(2)",74,740
tRNA-Ile-AAT-2-1,3,snp(3),74,740
tRNA-Ile-AAT-2-1_flank,9,"snp(7), del(1), ins(1)",74,740
tRNA-Leu-CAG-2-2,2,snp(2),83,829
tRNA-Leu-CAG-2-2_flank,17,"snp(15), del(1), ins(1)",83,829
tRNA-Leu-TAG-3-1,0,SNP,82,820
tRNA-Leu-TAG-3-1_flank,1,snp(1),82,820
tRNA-Lys-CTT-1-2,0,SNP,73,729
tRNA-Lys-CTT-1-2_flank,7,snp(7),73,729
tRNA-Lys-CTT-2-1,0,SNP,73,729
tRNA-Lys-CTT-2-1_flank,5,snp(5),73,729
tRNA-Lys-CTT-5-1,2,snp(2),73,729
tRNA-Lys-CTT-5-1_flank,8,"snp(7), del(1)",73,729
tRNA-Lys-TTT-1-1,1,snp(1),73,729
tRNA-Lys-TTT-1-1_flank,14,"snp(9), del(1), ins(4)",73,729
tRNA-Lys-TTT-5-1,2,snp(2),73,729
tRNA-Lys-TTT-5-1_flank,9,snp(9),73,729
tRNA-Lys-TTT-6-1,3,snp(3),73,729
tRNA-Lys-TTT-6-1_flank,7,snp(7),73,729
tRNA-Met-CAT-6-1,1,snp(1),73,729
tRNA-Met-CAT-6-1_flank,10,snp(10),73,729
tRNA-Pro-AGG-2-4,0,SNP,72,720
tRNA-Pro-AGG-2-4_flank,12,snp(12),72,720
tRNA-Pro-TGG-1-1,2,"snp(1), mnp(1)",72,720
tRNA-Pro-TGG-1-1_flank,20,snp(20),72,720
tRNA-Pro-TGG-3-3,1,snp(1),72,720
tRNA-Pro-TGG-3-3_flank,15,"snp(14), ins(1)",72,720
tRNA-Ser,2,snp(2),82,820
tRNA-Ser-CGA-2-1,2,snp(2),82,820
tRNA-Ser-CGA-2-1_flank,10,"snp(8), del(1), ins(1)",82,820
tRNA-Ser-GCT-2-1,2,snp(2),82,820
tRNA-Ser-GCT-2-1_flank,8,snp(8),82,820
tRNA-Ser-TGA-2-1,1,snp(1),82,820
tRNA-Ser-TGA-2-1_flank,7,snp(7),82,820
tRNA-Ser_flank,7,snp(7),82,820
tRNA-Thr-CGT-5-1,7,snp(7),74,740
tRNA-Thr-CGT-5-1_flank,15,"snp(14), ins(1)",74,740
tRNA-Thr-CGT-6-1,7,snp(7),72,720
tRNA-Thr-CGT-6-1_flank,9,"snp(8), mnp(1)",72,720
tRNA-Thr-TGT-1-1,1,snp(1),74,740
tRNA-Thr-TGT-1-1_flank,5,snp(5),74,740
tRNA-Thr-TGT-4-1,2,snp(2),73,729
tRNA-Thr-TGT-4-1_flank,17,"snp(14), ins(1), mnp(2)",73,729
tRNA-Val-AAC-3-1,5,snp(5),73,729
tRNA-Val-AAC-3-1_flank,4,snp(4),73,729
tRNA-Val-CAC-1-3,1,snp(1),73,729
tRNA-Val-CAC-1-3_flank,15,"snp(6), del(6), ins(2), mnp(1)",73,729
tRNA-Val-CAC-2-1,0,SNP,73,729
tRNA-Val-CAC-2-1_flank,9,snp(9),73,729
tRNA-Val-CAC-3-1,3,"ins(1), snp(2)",73,729
tRNA-Val-CAC-3-1_flank,19,"ins(5), snp(10), del(1), mnp(3)",73,729
tRNA-iMet-CAT-2-1,5,"snp(3), ins(2)",72,720
tRNA-iMet-CAT-2-1_flank,53,"snp(20), del(9), ins(22), mnp(2)",72,720
