Chromosome,Start,End,GeneName,BigWigFile,MethylationSignal
chr17,8173452,8173588,SNORD118,ENCFF437OMV_blood_WGBS.bigWig,"[nan, nan, nan, 0.0, nan, 0.0, nan, 0.0, nan, 0.0, 0.0, nan, 0.0, 2.857142925262451, nan, nan, nan, 0.0, nan, 0.0, 0.0, 0.0, nan, 0.0, nan, nan, 0.0, 0.0, nan, nan, 0.0, nan, 0.0, 0.0, nan, 0.0, nan, nan, nan, nan, 0.0, 0.0, 3.4482758045196533, nan, 0.0, nan, 5.882352828979492, nan, 0.0, 0.0, nan, nan, nan, nan, nan, 0.0, nan, 0.0, 0.0, nan, nan, nan, 0.0, nan, nan, 0.0, 0.0, nan, nan, 0.0, nan, 0.0, 4.545454502105713, nan, nan, nan, 0.0, nan, nan, 0.0, nan, nan, 0.0, nan, nan, 0.0, nan, nan, nan, nan, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, nan, 0.0, 0.0, nan, nan, 0.0, nan, 0.0, 0.0, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, 0.0, 0.0, 6.25, nan, 0.0, 0.0, nan, 0.0, nan, 0.0, 0.0, nan, nan]"
chr17,8173452,8173588,SNORD118,ENCFF236RUI_epithelium_WGBS.bigWig,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 14.0, 15.0, nan, nan, nan, nan, nan, nan, 11.0, 14.0, nan, nan, nan, nan, nan, nan, nan, 15.0, 13.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 10.0, 10.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 8.0, 10.0, nan, nan]"
chr19,50133745,50133864,SNAR-B2,ENCFF463DAE_brain_WGBS.bigWig,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, 2.0, nan, nan, nan, nan, nan, nan, nan, 3.0, 2.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 3.0, 3.0, nan, nan, nan, nan, nan, nan, 4.0, 3.0, 4.0, 3.0, nan, nan, nan, nan, 5.0, 3.0, nan, nan, 5.0, 3.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 7.0, 4.0, nan]"
chr19,50133745,50133864,SNAR-B2,ENCFF334JUQ_embryo_WGBS.bigWig,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 2.0, 1.0, nan, nan, 7.0, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 14.0, 3.0, nan]"
chr19,50133745,50133864,SNAR-B2,ENCFF437OMV_blood_WGBS.bigWig,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, nan, nan, 0.0, 0.0, 0.0, nan, nan, 1.5625, nan, 0.0, 1.5873016119003296, nan, 0.0, 1.8518518209457397, nan, 0.0, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, nan, 76.92308044433594, 89.47368621826172, nan, nan, 0.0, nan, 95.1219482421875, 90.90908813476562, nan, 1.9607843160629272, 0.0, 0.0, 4.761904716491699, nan, 88.3720932006836, 98.07691955566406, nan, nan, 0.0, 0.0, 0.0, nan, 83.33333587646484, 97.82608795166016, 0.0, 0.0, nan, nan, 2.6315789222717285, 0.0, 0.0, nan, 0.0, nan, 0.0, 0.0, 0.0, nan, 0.0, 97.14286041259766, 94.44444274902344, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 100.0, 94.59459686279297, 100.0, 0.0, nan, nan, 0.0, 100.0, 96.875, 3.125, 4.878048896789551, 100.0, 100.0, 3.225806474685669, nan, 0.0, 0.0, 0.0, nan, 0.0, nan, nan, nan, 0.0, 0.0, 0.0, nan, 0.0, 100.0, 97.05882263183594, 0.0]"
chr19,50133745,50133864,SNAR-B2,ENCFF236RUI_epithelium_WGBS.bigWig,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, 3.0, nan, nan, nan, nan, nan, nan, nan, 7.0, nan, nan, nan, nan, nan, nan, 3.0, 7.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 9.0, 13.0, nan, nan, nan, nan, nan, nan, 10.0, 16.0, 10.0, 15.0, nan, nan, nan, nan, 12.0, 15.0, nan, nan, 12.0, 16.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19.0, 20.0, nan]"
chr1,16727285,16727355,TRG-CCC5-1,ENCFF463DAE_brain_WGBS.bigWig,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 13.0, 39.0, nan, nan, nan, nan, nan, nan, nan, 8.0, 47.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, 12.0, 50.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 11.0, 49.0, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
chr1,16727285,16727355,TRG-CCC5-1,ENCFF334JUQ_embryo_WGBS.bigWig,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 2.0, 74.0, nan, nan, nan, nan, nan, nan, nan, 1.0, 99.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, 2.0, 116.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, 120.0, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
chr1,16727285,16727355,TRG-CCC5-1,ENCFF437OMV_blood_WGBS.bigWig,"[38.775508880615234, nan, nan, nan, 0.0, 0.0, nan, 2.5, 0.0, nan, 2.5641026496887207, 0.0, nan, 0.0, nan, 0.0, 0.0, nan, nan, 0.0, nan, nan, nan, nan, 0.0, nan, 27.659574508666992, 25.64102554321289, 0.0, 0.0, nan, 0.0, 0.0, 2.0833332538604736, nan, 46.808509826660156, 45.0, nan, 2.5641026496887207, 0.0, 0.0, nan, 0.0, nan, 3.9215686321258545, 1.923076868057251, 34.61538314819336, 37.5, 0.0, 12.765957832336426, nan, nan, 0.0, nan, nan, nan, nan, 0.0, 1.8181818723678589, 34.54545593261719, 28.846153259277344, 0.0, 0.0, 2.0, nan, nan, nan, 0.0, 0.0, nan]"
chr1,16727285,16727355,TRG-CCC5-1,ENCFF236RUI_epithelium_WGBS.bigWig,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 30.0, 39.0, nan, nan, nan, nan, nan, nan, nan, 25.0, 48.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, 21.0, 46.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 21.0, 44.0, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
chr14,105858165,105858242,MIR4538 ,ENCFF463DAE_brain_WGBS.bigWig,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
chr14,105858165,105858242,MIR4538 ,ENCFF334JUQ_embryo_WGBS.bigWig,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
chr14,105858165,105858242,MIR4538 ,ENCFF437OMV_blood_WGBS.bigWig,"[nan, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, nan, nan, 0.0, nan, 16.66666603088379, nan, 0.0, nan, 0.0, 0.0, 0.0, nan, 0.0, nan, nan, 0.0, nan, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, nan, 0.0, nan, nan, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, nan, nan, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, nan, 0.0, nan, nan, 0.0, 0.0, nan, nan, 0.0, 0.0, nan, nan]"
chr14,105858165,105858242,MIR4538 ,ENCFF236RUI_epithelium_WGBS.bigWig,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
chr19,47939541,47939660,SNAR-C4,ENCFF463DAE_brain_WGBS.bigWig,"[5.0, 2.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 7.0, 3.0, nan, nan, 7.0, 4.0, nan, nan, nan, nan, 7.0, 3.0, 7.0, 3.0, nan, nan, nan, nan, nan, nan, 7.0, 5.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 12.0, 10.0, nan, nan, nan, nan, nan, nan, 13.0, 11.0, nan, nan, nan, nan, nan, nan, 14.0, 14.0, nan, nan, nan, nan, 14.0, 14.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
chr19,47939541,47939660,SNAR-C4,ENCFF334JUQ_embryo_WGBS.bigWig,"[nan, 4.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 4.0, nan, nan, nan, 4.0, nan, nan, nan, nan, nan, 4.0, nan, 4.0, nan, nan, nan, nan, nan, nan, nan, 5.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 6.0, nan, nan, nan, nan, nan, nan, nan, 6.0, nan, nan, nan, nan, nan, nan, nan, 6.0, nan, nan, nan, nan, nan, 6.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
chr19,47939541,47939660,SNAR-C4,ENCFF437OMV_blood_WGBS.bigWig,"[94.28571319580078, 93.93939208984375, 0.0, nan, 0.0, 2.702702760696411, nan, nan, nan, nan, 0.0, nan, 5.714285850524902, 0.0, 0.0, nan, 0.0, 100.0, 87.5, 0.0, 2.2727272510528564, 100.0, 100.0, 0.0, nan, nan, 0.0, 100.0, 100.0, 98.14814758300781, 93.02325439453125, 0.0, 0.0, 0.0, 1.8181818723678589, 0.0, nan, 98.27586364746094, 100.0, 0.0, nan, 0.0, 0.0, 0.0, nan, 0.0, nan, 2.0833332538604736, nan, 0.0, nan, 4.081632614135742, 0.0, 100.0, 100.0, nan, 0.0, 0.0, 1.8518518209457397, nan, nan, 91.3043441772461, 85.24590301513672, nan, 0.0, 0.0, 0.0, 0.0, nan, 98.63013458251953, 96.96969604492188, nan, 0.0, nan, nan, 97.29729461669922, 92.42424011230469, nan, 0.0, 0.0, 4.109589099884033, 1.3698630332946777, nan, nan, 0.0, 1.3513513803482056, nan, 0.0, 0.0, nan, 0.0, 0.0, nan, 0.0, nan, nan, 0.0, 0.0, 0.0, nan, nan, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
chr19,47939541,47939660,SNAR-C4,ENCFF236RUI_epithelium_WGBS.bigWig,"[18.0, 16.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 29.0, 22.0, nan, nan, 29.0, 24.0, nan, nan, nan, nan, 35.0, 27.0, 37.0, 24.0, nan, nan, nan, nan, nan, nan, 42.0, 28.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 50.0, 36.0, nan, nan, nan, nan, nan, nan, 56.0, 42.0, nan, nan, nan, nan, nan, nan, 59.0, 45.0, nan, nan, nan, nan, 62.0, 48.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
chr1,44721786,44721901,RNU5F-1,ENCFF463DAE_brain_WGBS.bigWig,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 10.0, 9.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 13.0, 9.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 16.0, 8.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
chr1,44721786,44721901,RNU5F-1,ENCFF334JUQ_embryo_WGBS.bigWig,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 30.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 2.0, 33.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 3.0, 31.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
chr1,44721786,44721901,RNU5F-1,ENCFF437OMV_blood_WGBS.bigWig,"[0.0, 0.0, 0.0, nan, nan, 0.0, 0.0, 0.0, nan, nan, 0.0, 0.0, 0.0, nan, nan, 0.0, nan, 0.0, nan, nan, 0.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, nan, 15.0, nan, 0.0, nan, nan, nan, 0.0, nan, nan, 0.0, nan, nan, nan, nan, nan, 0.0, nan, 5.263157844543457, 0.0, nan, 0.0, 0.0, 0.0, nan, nan, nan, nan, 0.0, nan, nan, nan, nan, 0.0, nan, nan, nan, nan, nan, 0.0, 0.0, 0.0, 0.0, nan, nan, nan, 2.5, nan, nan, nan, nan, nan, nan, nan, 0.0, 0.0, nan, nan, nan, nan, 0.0, nan, nan, 0.0, nan, 0.0, nan, nan, nan, 3.846153736114502, 0.0, nan, 0.0, nan, 0.0, nan, nan]"
chr1,44721786,44721901,RNU5F-1,ENCFF236RUI_epithelium_WGBS.bigWig,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.0, 21.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.0, 21.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 18.0, 23.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
chr1,204506527,204506599,TRK-TTT3-2,ENCFF463DAE_brain_WGBS.bigWig,"[nan, nan, 14.0, 7.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 13.0, 7.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 12.0, 8.0, nan, nan, 10.0, 9.0]"
chr1,204506527,204506599,TRK-TTT3-2,ENCFF334JUQ_embryo_WGBS.bigWig,"[nan, nan, 11.0, 27.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 11.0, 30.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 34.0, nan, nan, nan, 33.0]"
